V13 LastFM tuning results — 2026-02-15 16:33:31
Target: NDCG@10 > 0.0440 (WEARec Official)

Run                                   HR@5    NDCG@5     HR@10   NDCG@10     HR@20   NDCG@20
--------------------------------  --------  --------  --------  --------  --------  --------
WEARec_Official_LastFM              0.0541    0.0353    0.0817    0.0440    0.1202    0.0537
v13lastfm_s3_in256_paw0p05          0.0514    0.0347    0.0743    0.0419    0.1037    0.0492
v13lastfm_s2_d0p5_h4                0.0514    0.0347    0.0743    0.0419    0.1037    0.0492
v13lastfm_s1_lr0p001                0.0514    0.0347    0.0743    0.0419    0.1037    0.0492
v13lastfm_micro_d0p1_paw0p2         0.0523    0.0361    0.0706    0.0419    0.0982    0.0487
v13lastfm_s2_d0p5_h2                0.0523    0.0358    0.0706    0.0418    0.1083    0.0511
v13lastfm_s2_d0p4_h2                0.0523    0.0338    0.0725    0.0404    0.1064    0.0489
v13lastfm_micro_d0p2_paw0p2         0.0477    0.0345    0.0661    0.0403    0.0972    0.0481
v13lastfm_micro_d0p2_paw0p1         0.0468    0.0338    0.0670    0.0403    0.0963    0.0476
v13lastfm_s3_in512_paw0p0           0.0486    0.0318    0.0725    0.0396    0.1028    0.0471
v13lastfm_s1_lr0p0002               0.0413    0.0308    0.0670    0.0393    0.0954    0.0463
v13lastfm_s3_in256_paw0p0           0.0459    0.0321    0.0661    0.0387    0.1018    0.0477
v13lastfm_s1_lr0p0005               0.0422    0.0313    0.0651    0.0385    0.0945    0.0460
v13lastfm_s2_d0p4_h4                0.0431    0.0320    0.0587    0.0369    0.1000    0.0471
v13lastfm_s3_in512_paw0p05          0.0440    0.0296    0.0661    0.0366    0.1018    0.0457
v13lastfm_micro_d0p1_paw0p1         0.0486    0.0325    0.0615    0.0366    0.0917    0.0442
v13lastfm_s1_lr0p0003               0.0339    0.0240    0.0486    0.0287    0.0725    0.0347

Best run: v13lastfm_s3_in256_paw0p05  NDCG@10 = 0.0419
